service_id,date,exception_type
8181,20160224,2
8181,20160325,2
8181,20160327,2
8181,20160501,2
8181,20160515,2
8181,20160623,2
8181,20160624,2
8181,20160820,2
8181,20161224,2
8181,20161225,2
8181,20161226,2
8182,20160101,2
8182,20160224,2
8182,20160325,2
8182,20160327,2
8182,20160501,2
8182,20160515,2
8182,20160623,2
8182,20160624,2
8182,20160820,2
8182,20161224,2
8182,20161225,2
8182,20161226,2
8183,20160101,2
8183,20160224,2
8183,20160325,2
8183,20160327,2
8183,20160501,2
8183,20160515,2
8183,20160623,2
8183,20160624,2
8183,20160820,2
8183,20161224,2
8183,20161225,2
8183,20161226,2
8184,20160101,2
8184,20160224,2
8184,20160325,2
8184,20160327,2
8184,20160501,2
8184,20160515,2
8184,20160623,2
8184,20160624,2
8184,20160820,2
8184,20161224,2
8184,20161225,2
8184,20161226,2
20106,20160101,2
20118,20151231,1
20118,20160101,2
20118,20160324,1
20118,20160325,2
20118,20160622,1
20118,20160624,2
20118,20161225,2
20119,20160101,2
20119,20160325,2
20119,20160624,2
20119,20161225,2
20192,20160101,2
20192,20160224,2
20192,20160325,2
20192,20160327,2
20192,20160501,2
20192,20160515,2
20192,20160623,2
20192,20160624,2
20192,20160820,2
20223,20160101,2
20223,20160224,2
20223,20160325,2
20223,20160327,2
20223,20160501,2
20223,20160515,2
20223,20160623,2
20223,20160624,2
20223,20160820,2
20223,20161224,2
20223,20161225,2
20223,20161226,2
20228,20160101,2
20228,20160224,2
20228,20160325,2
20228,20160327,2
20228,20160501,2
20228,20160515,2
20228,20160623,2
20228,20160624,2
20228,20160820,2
20228,20161224,2
20228,20161225,2
20228,20161226,2
20230,20160101,2
20230,20160224,2
20230,20160325,2
20230,20160327,2
20230,20160501,2
20230,20160515,2
20230,20160623,2
20230,20160624,2
20230,20160820,2
20230,20161224,2
20230,20161225,2
20230,20161226,2
20251,20160101,2
20251,20160224,2
20251,20160325,2
20251,20160327,2
20251,20160501,2
20251,20160515,2
20251,20160623,2
20251,20160624,2
20251,20160820,2
20251,20161224,2
20251,20161225,2
20251,20161226,2
20428,20160101,2
20428,20160111,2
20428,20160112,2
20428,20160113,2
20428,20160114,2
20428,20160115,2
20428,20160118,2
20428,20160119,2
20428,20160120,2
20428,20160121,2
20428,20160122,2
20428,20160125,2
20428,20160126,2
20428,20160127,2
20428,20160128,2
20428,20160129,2
20428,20160201,2
20428,20160202,2
20428,20160203,2
20428,20160204,2
20428,20160205,2
20428,20160208,2
20428,20160209,2
20428,20160210,2
20428,20160211,2
20428,20160212,2
20428,20160215,2
20428,20160216,2
20428,20160217,2
20428,20160218,2
20428,20160219,2
20428,20160222,2
20428,20160223,2
20428,20160224,2
20428,20160225,2
20428,20160226,2
20429,20160101,2
20429,20160111,2
20429,20160112,2
20429,20160113,2
20429,20160114,2
20429,20160115,2
20429,20160118,2
20429,20160119,2
20429,20160120,2
20429,20160121,2
20429,20160122,2
20429,20160125,2
20429,20160126,2
20429,20160127,2
20429,20160128,2
20429,20160129,2
20429,20160201,2
20429,20160202,2
20429,20160203,2
20429,20160204,2
20429,20160205,2
20429,20160208,2
20429,20160209,2
20429,20160210,2
20429,20160211,2
20429,20160212,2
20429,20160215,2
20429,20160216,2
20429,20160217,2
20429,20160218,2
20429,20160219,2
20429,20160222,2
20429,20160223,2
20429,20160224,2
20429,20160225,2
20429,20160226,2
20434,20160101,2
20434,20160224,2
20439,20160101,2
20439,20160224,2
20448,20160101,2
20448,20160224,2
20449,20160101,2
20449,20160224,2
20451,20151231,2
20451,20160101,2
20451,20160102,2
20451,20160104,2
20451,20160105,2
20451,20160106,2
20451,20160107,2
20451,20160108,2
20451,20160109,2
20451,20160111,2
20451,20160112,2
20451,20160113,2
20451,20160114,2
