route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,wheelchair_accessible
4992588bea2465a4849ef783d2a2cf1a,70878,352112,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,1
4992588bea2465a4849ef783d2a2cf1a,70878,352114,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,1
4992588bea2465a4849ef783d2a2cf1a,70878,352116,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,1
4992588bea2465a4849ef783d2a2cf1a,70878,352118,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,1
4992588bea2465a4849ef783d2a2cf1a,70878,352120,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,1
4992588bea2465a4849ef783d2a2cf1a,70879,352125,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70879,352127,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70879,352130,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70879,352132,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70880,352137,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70880,352139,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70880,352142,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70880,352144,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70880,352146,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70881,352150,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70881,352153,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70881,352155,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70881,352157,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70882,352162,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70882,352165,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70882,352168,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70882,352170,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70883,352176,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70883,352178,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70883,352181,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70883,352183,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70884,352187,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70884,352189,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70884,352192,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70884,352194,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70884,352196,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70885,352199,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70885,352201,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70885,352204,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70885,352206,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70885,352208,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70879,372597,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70881,372603,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
4992588bea2465a4849ef783d2a2cf1a,70883,372609,Vana-Pääsküla,Viru keskus - Vana-Pääsküla,A>B,0
